audit_vces,cmiotftp,cslijie,csliuql,cslugg,cslvnan,csxuwei,csyangw,csyusx,cszhoufb,ctbossftp,grid,heliu,hpsmh,lixm,liyi,liyy03,luoch,mcftp,monitor,nfsnobody,opc_op,oracle,pancj,pansy,proftp,pulse,quanyq,rtkit,saslauth,shc,upay,upay2_dr,upayftp,vces,wanghui,wangq,yangting
,,,,,,,,,,,,auditvces14,auditvces13,auditvces14,auditvces14,auditvces14,auditvces14,,profiledmza,auditvces11,,,auditvces14,auditvces13,,auditvces11,auditvces14,auditvces11,auditvces11,auditvces13,auditvces8,,,,auditvces14,,auditvces14
,,,,,,,,,,,,auditvces16,auditvces16,auditvces16,auditvces16,auditvces16,auditvces16,,auditvces7,auditvces12,,,auditvces16,auditvces14,,auditvces12,auditvces16,auditvces12,auditvces12,auditvces14,auditvces9,,,,auditvces16,,auditvces16
,,,,,,,,,,,,vces5,profilesea,vces5,vces5,vces5,vces5,,auditvces15,auditvces13,,,vces5,auditvces16,,auditvces13,vces5,auditvces13,auditvces13,auditvces16,auditvces10,,,,vces5,,vces5
,,,,,,,,,,,,auditvces15,profilec,auditvces15,auditvces15,auditvces15,auditvces15,,auditvces2,auditvces14,,,auditvces15,vces5,,auditvces14,auditvces15,auditvces14,auditvces14,vces5,auditvces11,,,,auditvces15,,auditvces15
,,,,,,,,,,,,profiledmzb,profiletaska,profiledmzb,profiledmzb,profiledmzb,profiledmzb,,auditvces3,auditvces15,,,profiledmzb,auditvces15,,auditvces15,profiledmzb,auditvces15,auditvces15,auditvces15,auditvces12,,,,profiledmzb,,profiledmzb
,,,,,,,,,,,,,profiletaskb,,,,,,profilesea,auditvces16,,,,,,auditvces16,,auditvces16,auditvces16,,auditvces13,,,,,,
,,,,,,,,,,,,,profilea,,,,,,profilec,profilesea,,,,,,profilesea,,profilesea,profilesea,,auditvces14,,,,,,
,,,,,,,,,,,,,profileb,,,,,,profiletaska,profilec,,,,,,profilec,,profilec,profilec,,auditvces16,,,,,,
,,,,,,,,,,,,,upaytmyj1,,,,,,profiletaskb,profiletaska,,,,,,profiletaska,,profiletaska,profiletaska,,profilesea,,,,,,
,,,,,,,,,,,,,upaytmyj2,,,,,,profileb,profiletaskb,,,,,,profiletaskb,,profiletaskb,profiletaskb,,profilec,,,,,,
,,,,,,,,,,,,,upaytmyj3,,,,,,profiledmzd,profilea,,,,,,profilea,,profilea,profilea,,profiletaska,,,,,,
,,,,,,,,,,,,,upaytmyj4,,,,,,profilea,profileb,,,,,,profileb,,profileb,profileb,,profiletaskb,,,,,,
,,,,,,,,,,,,,upaytmyj5,,,,,,profiledmzb,upaytmyj1,,,,,,upaytmyj1,,upaytmyj1,upaytmyj1,,profilea,,,,,,
,,,,,,,,,,,,,profiledmzd,,,,,,,upaytmyj2,,,,,,upaytmyj2,,upaytmyj2,upaytmyj2,,profileb,,,,,,
,,,,,,,,,,,,,vces5,,,,,,,upaytmyj3,,,,,,upaytmyj3,,upaytmyj3,upaytmyj3,,vces5,,,,,,
,,,,,,,,,,,,,auditvces15,,,,,,,upaytmyj4,,,,,,upaytmyj4,,upaytmyj4,upaytmyj4,,profiledmza,,,,,,
,,,,,,,,,,,,,,,,,,,,upaytmyj5,,,,,,upaytmyj5,,upaytmyj5,upaytmyj5,,auditvces15,,,,,,
,,,,,,,,,,,,,,,,,,,,profiledmzd,,,,,,profiledmzd,,profiledmzd,profiledmzd,,profiledmzd,,,,,,
